NAME_1,NAME_2,GID_1,GID_2,Gini_Coefficient
Anhui,Anqing,340000,340800,0.9108223791722957
Anhui,Bengbu,340000,340300,0.9793776402885699
Anhui,Bozhou,340000,341600,0.9777349845004555
Anhui,Chizhou,340000,341700,0.9819182307515667
Anhui,Chuzhou,340000,341100,0.9348313108637805
Anhui,Fuyang,340000,341200,0.9618091458907425
Anhui,Hefei,340000,340100,0.6823029749062159
Anhui,Huaibei,340000,340600,0.9224684508841021
Anhui,Huainan,340000,340400,0.9536897854498798
Anhui,Huangshan,340000,341000,0.8823730096087774
Anhui,Liuan,340000,341500,0.963014508196204
Anhui,Maanshan,340000,340500,0.9526040312337789
Anhui,Suzhou,340000,341300,0.940826495742952
Anhui,Tongling,340000,340700,0.909129684629911
Anhui,Wuhu,340000,340200,0.8535175075548336
Anhui,Xuancheng,340000,341800,0.911504070305968
Chongqing,NULL,500000,0,0.8457586286424097
Liaoning,Anshan,210000,210300,0.9728751212821888
Liaoning,Benxi,210000,210500,0.9562812010420839
Liaoning,Chaoyang,210000,211300,0.9820433955746354
Liaoning,Dalian,210000,210200,0.8273459749483197
Liaoning,Dandong,210000,210600,0.9880045091063931
Liaoning,Fushun,210000,210400,0.9798680642456147
Liaoning,Fuxin,210000,210900,0.993040020586582
Liaoning,Huludao,210000,211400,0.9699229790521559
Liaoning,Jinzhou,210000,210700,0.9828570881024727
Liaoning,Liaoyang,210000,211000,0.9437243033092562
Liaoning,Panjin,210000,211100,0.9535321897889157
Liaoning,Shenyang,210000,210100,0.864784504398539
Liaoning,Tieling,210000,211200,0.9849378458620297
Liaoning,Yingkou,210000,210800,0.9786788841076755
Qinghai,Guoluozangzu,630000,632600,0.9901505981207259
Qinghai,Haibeizangzu,630000,632200,0.9908854730293934
Qinghai,Haidong,630000,630200,0.975064715098047
Qinghai,Hainanzangzu,630000,632500,0.9786519375722598
Qinghai,Haiximengguzuzangzu,630000,632800,0.9866035175341794
Qinghai,Huangnanzangzu,630000,632300,0.9907657818062243
Qinghai,Xining,630000,630100,0.9567085643783755
Qinghai,Yushuzangzu,630000,632700,0.9999406178848647
Guangdong,Chaozhou,440000,445100,0.7966989053260859
Guangdong,Dongguan,440000,441900,0.6242622482390894
Guangdong,Foshan,440000,440600,0.5925670525004371
Guangdong,Guangzhou,440000,440100,0.4621829846110167
Guangdong,Heyuan,440000,441600,0.890114512093176
Guangdong,Huizhou,440000,441300,0.7326351412900767
Guangdong,Jiangmen,440000,440700,0.8094556336940041
Guangdong,Jieyang,440000,445200,0.8896352957247267
Guangdong,Maoming,440000,440900,0.8761451477317131
Guangdong,Meizhou,440000,441400,0.8730516910204171
Guangdong,Qingyuan,440000,441800,0.8884149697999819
Guangdong,Shantou,440000,440500,0.8462068482225641
Guangdong,Shanwei,440000,441500,0.8724542598404492
Guangdong,Shaoguan,440000,440200,0.891898241615906
Guangdong,Shenzhen,440000,440300,0.3496462913663847
Guangdong,Yangjiang,440000,441700,0.9058316312141507
Guangdong,Yunfu,440000,445300,0.8769923344553234
Guangdong,Zhanjiang,440000,440800,0.9258124374126315
Guangdong,Zhaoqing,440000,441200,0.8560394469935736
Guangdong,Zhongshan,440000,442000,0.6473185686197076
Guangdong,Zhuhai,440000,440400,0.5870609430886016
Tianjin,NULL,120000,0,0.5913883772149895
Jiangsu,Changzhou,320000,320400,0.7607415869335011
Jiangsu,Huaian,320000,320800,0.9220154949705155
Jiangsu,Lianyungang,320000,320700,0.9384425239947392
Jiangsu,Nanjing,320000,320100,0.5732234816040187
Jiangsu,Nantong,320000,320600,0.8989868338129128
Jiangsu,Suqian,320000,321300,0.9372960657763458
Jiangsu,Suzhou,320000,320500,0.7406246517815644
Jiangsu,Taizhou,320000,321200,0.8864187175199314
Jiangsu,Wuxi,320000,320200,0.7638418580976314
Jiangsu,Xuzhou,320000,320300,0.9211792889524117
Jiangsu,Yancheng,320000,320900,0.9060088815341247
Jiangsu,Yangzhou,320000,321000,0.8709404567166732
Jiangsu,Zhenjiang,320000,321100,0.8528026462458029
Beijing,NULL,110000,0,0.5123905034025049
Shanghai,NULL,310000,0,0.5101597926569734
Ningxia,Guyuan,640000,640400,0.9704682685355093
Ningxia,Shizuishan,640000,640200,0.9225453060711893
Ningxia,Wuzhong,640000,640300,0.9299131228464949
Ningxia,Yinchuan,640000,640100,0.7807977859069082
Ningxia,Zhongwei,640000,640500,0.9261998221001514
Guangdong,Shenzhen,440300,440300,0.3144863744888875
