name,gb,pname,officalProvinceNum2025,provinceNum2025,cityNum2025,dividRatio,officalCityNumDivid
克拉玛依市,156650200,新疆维吾尔自治区,4735,5519,151,0.027360028990759,130
湘潭市,156430300,湖南省,5854,7605,336,0.044181459566075,259
昆玉市,156659009,新疆维吾尔自治区,4735,5519,9,0.001630730204747,8
惠州市,156441300,广东省,38770,32965,2259,0.068527225845594,2657
可克达拉市,156659008,新疆维吾尔自治区,4735,5519,44,0.007972458778764,38
襄阳市,156420600,湖北省,8311,11670,866,0.074207369323051,617
南宁市,156450100,广西壮族自治区,8814,10222,1805,0.176579925650558,1556
南充市,156511300,四川省,12365,11998,555,0.046257709618270,572
酒泉市,156620900,甘肃省,1894,2440,201,0.082377049180328,156
淄博市,156370300,山东省,18515,20260,1061,0.052369200394867,970
图木舒克市,156659003,新疆维吾尔自治区,4735,5519,13,0.002355499184635,11
阿拉尔市,156659002,新疆维吾尔自治区,4735,5519,50,0.009059612248596,43
焦作市,156410800,河南省,12525,15874,594,0.037419679979841,469
石河子市,156659001,新疆维吾尔自治区,4735,5519,76,0.013770610617866,65
赤峰市,156150400,内蒙古自治区,4816,5318,508,0.095524633320797,460
双河市,156659007,新疆维吾尔自治区,4735,5519,10,0.001811922449719,9
铁门关市,156659006,新疆维吾尔自治区,4735,5519,32,0.005798151839101,27
五家渠市,156659004,新疆维吾尔自治区,4735,5519,77,0.013951802862837,66
韶关市,156440200,广东省,38770,32965,879,0.026664644319733,1034
朔州市,156140600,山西省,5731,5767,203,0.035200277440610,202
四平市,156220300,吉林省,1416,1927,127,0.065905552672548,93
新余市,156360500,江西省,6116,8183,164,0.020041549553953,123
南平市,156350700,福建省,8162,7767,570,0.073387408265740,599
哈尔滨市,156230100,黑龙江省,1662,1844,737,0.399674620390456,664
成都市,156510100,四川省,12365,11998,4460,0.371728621436906,4596
河池市,156451200,广西壮族自治区,8814,10222,620,0.060653492467228,535
中卫市,156640500,宁夏回族自治区,1409,2035,216,0.106142506142506,150
本溪市,156210500,辽宁省,3194,3917,117,0.029869798315037,95
承德市,156130800,河北省,11267,11652,461,0.039564023343632,446
聊城市,156371500,山东省,18515,20260,936,0.046199407699901,855
衡阳市,156430400,湖南省,5854,7605,554,0.072846811308350,426
湘西土家族苗族自治州,156433100,湖南省,5854,7605,268,0.035239973701512,206
杭州市,156330100,浙江省,21942,19399,4714,0.243002216609104,5332
玉树藏族自治州,156632700,青海省,578,488,1,0.002049180327869,1
武威市,156620600,甘肃省,1894,2440,153,0.062704918032787,119
临夏回族自治州,156622900,甘肃省,1894,2440,152,0.062295081967213,118
黄山市,156341000,安徽省,9743,20493,944,0.046064509832626,449
徐州市,156320300,江苏省,25553,21829,1669,0.076457922946539,1954
济宁市,156370800,山东省,18515,20260,1598,0.078874629812438,1460
揭阳市,156445200,广东省,38770,32965,739,0.022417715759138,869
那曲市,156540600,西藏自治区,279,421,17,0.040380047505938,11
郑州市,156410100,河南省,12525,15874,3122,0.196673806224014,2463
通辽市,156150500,内蒙古自治区,4816,5318,283,0.053215494546822,256
贵港市,156450800,广西壮族自治区,8814,10222,639,0.062512228526707,551
安康市,156610900,陕西省,6270,5960,277,0.046476510067114,291
昌吉回族自治州,156652300,新疆维吾尔自治区,4735,5519,478,0.086609893096575,410
晋中市,156140700,山西省,5731,5767,643,0.111496445292180,639
大庆市,156230600,黑龙江省,1662,1844,216,0.117136659436009,195
普洱市,156530800,云南省,5815,6937,310,0.044687905434626,260
白城市,156220800,吉林省,1416,1927,80,0.041515308770109,59
香港特别行政区,156810000,香港特别行政区,,549,549,1.000000000000000,
石嘴山市,156640200,宁夏回族自治区,1409,2035,314,0.154299754299754,217
荆州市,156421000,湖北省,8311,11670,648,0.055526992287918,461
沧州市,156130900,河北省,11267,11652,918,0.078784757981462,888
三门峡市,156411200,河南省,12525,15874,329,0.020725715005670,260
海西蒙古族藏族自治州,156632800,青海省,578,488,85,0.174180327868852,101
云浮市,156445300,广东省,38770,32965,661,0.020051569846807,777
张掖市,156620700,甘肃省,1894,2440,200,0.081967213114754,155
滁州市,156341100,安徽省,9743,20493,1787,0.087200507490363,850
泰安市,156370900,山东省,18515,20260,978,0.048272458045410,894
无锡市,156320200,江苏省,25553,21829,1984,0.090888267900499,2322
大兴安岭地区,156232700,黑龙江省,1662,1844,34,0.018438177874187,31
